"","Categoria CDB","Subcategoria CDB","n_reg"
"1","Corredor","Canais, bacias e mares interconectados",2558
"2","Escape","Agricultura e biocombustíveis",9095
"3","Escape","Animais domésticos",19484
"4","Escape","Aquicultura/maricultura",5880
"5","Escape","Aquário, terrário e pet (incluindo comida viva para essas espécies)",74082
"6","Escape","Comida viva e isca viva",6646
"7","Escape","Fazendas de peles de animais",277
"8","Escape","Fins ornamentais",31072
"9","Escape","Jardim botânico, zoológico, aquário (não domésticos)",28366
"10","Escape","Pesquisa e e criação ex-situ",2330
"11","Escape","Plantas cultivadas",19671
"12","Escape","Produção florestal e reflorestamento",890
"13","Sem ajuda humana","Dispersão natural (vias 1 a 5) por fronteiras",59054
"14","Soltura na natureza","Caça na natureza",7627
"15","Soltura na natureza","Controle biológico",2388
"16","Soltura na natureza","Controle de erosão, quebra vento ou cerca viva",2947
"17","Soltura na natureza","Introdução para fins de conservação",33
"18","Soltura na natureza","Melhoramento de paisagem",20036
"19","Soltura na natureza","Outra soltura intencional",39833
"20","Soltura na natureza","Pesca na natureza",6133
"21","Transporte clandestino","Bagagens e turismo",25
"22","Transporte clandestino","Bioincrustação em navios",881
"23","Transporte clandestino","Container/volume",1268
"24","Transporte clandestino","Maquinário e equipamento",15752
"25","Transporte clandestino","Material de embalagem orgânico",5258
"26","Transporte clandestino","Outro meio de transporte",11
"27","Transporte clandestino","Parasitas em animais",1
"28","Transporte clandestino","Presença em avião",433
"29","Transporte clandestino","Presença em navio e embarbação",30682
"30","Transporte clandestino","Veículos",6501
"31","Transporte clandestino","Água de lastro",1178
"32","Transporte como contaminante","Comércio de madeira",5689
"33","Transporte como contaminante","Contaminantes em animais (exceto parasitas)",1346
"34","Transporte como contaminante","Contaminantes em plantas (exceto parasitas)",9605
"35","Transporte como contaminante","Contaminação de comida incluindo comida viva",99
"36","Transporte como contaminante","Contaminação em material para viveiros",184
"37","Transporte como contaminante","Contaminação em sementes",2128
"38","Transporte como contaminante","Transporte de material natural",19004
